date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Baht,THB,764,Yen,JPY,392,4.64,4.48,4.56
2025-01-07,Baht,THB,764,Yen,JPY,392,4.65,4.49,4.57
2025-01-08,Baht,THB,764,Yen,JPY,392,4.65,4.49,4.57
2025-01-09,Baht,THB,764,Yen,JPY,392,4.66,4.5,4.58
2025-01-10,Baht,THB,764,Yen,JPY,392,4.66,4.5,4.58
2025-01-14,Baht,THB,764,Yen,JPY,392,4.65,4.49,4.57
2025-01-15,Baht,THB,764,Yen,JPY,392,4.64,4.48,4.56
2025-01-16,Baht,THB,764,Yen,JPY,392,4.61,4.45,4.53
2025-01-17,Baht,THB,764,Yen,JPY,392,4.58,4.42,4.5
2025-01-20,Baht,THB,764,Yen,JPY,392,4.61,4.45,4.53
2025-01-21,Baht,THB,764,Yen,JPY,392,4.64,4.48,4.56
2025-01-22,Baht,THB,764,Yen,JPY,392,4.67,4.51,4.59
2025-01-23,Baht,THB,764,Yen,JPY,392,4.71,4.55,4.63
2025-01-24,Baht,THB,764,Yen,JPY,392,4.69,4.53,4.61
2025-01-27,Baht,THB,764,Yen,JPY,392,4.71,4.55,4.63
2025-01-28,Baht,THB,764,Yen,JPY,392,4.65,4.49,4.57
2025-01-29,Baht,THB,764,Yen,JPY,392,4.68,4.52,4.6
2025-01-30,Baht,THB,764,Yen,JPY,392,4.68,4.52,4.6
2025-01-31,Baht,THB,764,Yen,JPY,392,4.67,4.51,4.59
2025-02-03,Baht,THB,764,Yen,JPY,392,4.65,4.49,4.57
2025-02-04,Baht,THB,764,Yen,JPY,392,4.66,4.5,4.58
2025-02-05,Baht,THB,764,Yen,JPY,392,4.66,4.5,4.58
2025-02-06,Baht,THB,764,Yen,JPY,392,4.63,4.47,4.55
2025-02-07,Baht,THB,764,Yen,JPY,392,4.56,4.4,4.48
2025-02-10,Baht,THB,764,Yen,JPY,392,4.57,4.41,4.49
2025-02-12,Baht,THB,764,Yen,JPY,392,4.57,4.41,4.49
2025-02-13,Baht,THB,764,Yen,JPY,392,4.63,4.47,4.55
2025-02-14,Baht,THB,764,Yen,JPY,392,4.62,4.46,4.54
2025-02-17,Baht,THB,764,Yen,JPY,392,4.57,4.41,4.49
2025-02-18,Baht,THB,764,Yen,JPY,392,4.58,4.42,4.5
2025-02-19,Baht,THB,764,Yen,JPY,392,4.6,4.44,4.52
2025-02-20,Baht,THB,764,Yen,JPY,392,4.57,4.41,4.49
2025-02-21,Baht,THB,764,Yen,JPY,392,4.55,4.39,4.47
2025-02-25,Baht,THB,764,Yen,JPY,392,4.57,4.41,4.49
2025-02-26,Baht,THB,764,Yen,JPY,392,4.5,4.34,4.42
2025-02-27,Baht,THB,764,Yen,JPY,392,4.5,4.34,4.42
2025-02-28,Baht,THB,764,Yen,JPY,392,4.47,4.31,4.39
2025-03-03,Baht,THB,764,Yen,JPY,392,4.48,4.32,4.4
2025-03-04,Baht,THB,764,Yen,JPY,392,4.46,4.3,4.38
2025-03-05,Baht,THB,764,Yen,JPY,392,4.53,4.37,4.45
2025-03-06,Baht,THB,764,Yen,JPY,392,4.52,4.36,4.44
