date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2025-01-07,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2025-01-08,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2025-01-09,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2025-01-10,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2025-01-14,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2025-01-15,Rupiah,IDR,360,Yen,JPY,392,1.1,0.86,0.98
2025-01-16,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2025-01-17,Rupiah,IDR,360,Yen,JPY,392,1.07,0.83,0.95
2025-01-20,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2025-01-21,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2025-01-22,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2025-01-23,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2025-01-24,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2025-01-27,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2025-01-28,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2025-01-29,Rupiah,IDR,360,Yen,JPY,392,1.09,0.85,0.97
2025-01-30,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2025-01-31,Rupiah,IDR,360,Yen,JPY,392,1.07,0.83,0.95
