date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,tts,ttb,ttm
2025-01-06,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.71,19.85,20.28
2025-01-07,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.78,19.92,20.35
2025-01-08,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.76,19.9,20.33
2025-01-09,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.8,19.94,20.37
2025-01-10,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.76,19.9,20.33
2025-01-14,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.67,19.81,20.24
2025-01-15,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.73,19.87,20.3
2025-01-16,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.52,19.66,20.09
2025-01-17,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.36,19.5,19.93
2025-01-20,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.48,19.62,20.05
2025-01-21,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.49,19.63,20.06
2025-01-22,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.41,19.55,19.98
2025-01-23,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.53,19.67,20.1
2025-01-24,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.5,19.64,20.07
2025-01-27,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.41,19.55,19.98
2025-01-28,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.35,19.49,19.92
2025-01-29,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.41,19.55,19.98
2025-01-30,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.29,19.43,19.86
2025-01-31,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.25,19.39,19.82
2025-02-03,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.41,19.55,19.98
2025-02-04,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.37,19.51,19.94
2025-02-05,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.22,19.36,19.79
2025-02-06,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.03,19.17,19.6
2025-02-07,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.86,19.,19.43
2025-02-10,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.94,19.08,19.51
2025-02-12,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.1,19.24,19.67
2025-02-13,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.27,19.41,19.84
2025-02-14,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.05,19.19,19.62
2025-02-17,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.95,19.09,19.52
2025-02-18,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.92,19.06,19.49
2025-02-19,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.,19.14,19.57
2025-02-20,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.86,19.,19.43
2025-02-21,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.7,18.84,19.27
2025-02-25,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.75,18.89,19.32
2025-02-26,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.59,18.73,19.16
2025-02-27,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.63,18.77,19.2
2025-02-28,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.68,18.82,19.25
2025-03-03,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.79,18.93,19.36
2025-03-04,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.62,18.76,19.19
2025-03-05,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.71,18.85,19.28
2025-03-06,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.63,18.77,19.2
