date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-07,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-01-08,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-09,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-10,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-14,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-15,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-01-16,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-17,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-20,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-21,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-22,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-01-23,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-01-24,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-01-27,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-01-28,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-01-29,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-01-30,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-01-31,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-03,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-04,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-05,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-06,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-07,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-10,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-12,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-13,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-02-14,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-02-17,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-02-18,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-02-19,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-02-20,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-21,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-25,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-26,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-27,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-02-28,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-03-03,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-03-04,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2025-03-05,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-03-06,Forint,HUF,348,Yen,JPY,392,0.43,0.39,0.41
2025-03-07,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2025-03-10,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
